143426.6294418247, 6394339.1822918011, 35.4567254990, 143426.6045264360, 6394339.1639437666, 35.4869949113, 2432, 2058, 0.0000000664
143426.8487765293, 6394339.9358792957, 35.4263227242, 143426.9520876023, 6394339.9597196858, 35.3707977356, 2302, 1918, 0.0000000611
143427.2716298024, 6394340.5512369880, 35.3485649108, 143427.4571493226, 6394340.4721452892, 35.5045560905, 2419, 2084, 0.0000000212
143427.3530863230, 6394341.3267682949, 35.1321835137, 143427.3308544876, 6394341.3416834734, 35.1271598893, 2388, 2030, 0.0000000170
143427.7901528657, 6394342.1864768742, 35.1221110219, 143427.8298291250, 6394342.1019694619, 35.1452071401, 2451, 2085, 0.0000000311
143428.1084505916, 6394343.1700802259, 35.0511163420, 143428.0767400367, 6394343.2384047015, 35.0398215087, 2309, 1990, 0.0000000409
143428.2078121598, 6394344.0644522915, 34.8908824799, 143428.1700267638, 6394344.0288042305, 34.9122457507, 2405, 2070, 0.0000000578
143428.4176930592, 6394345.0370103754, 34.7558484378, 143428.1309619972, 6394345.1981092943, 34.6977207283, 2203, 1857, 0.0000000487
143428.4167375567, 6394346.1306957500, 34.6717113390, 143428.3786194080, 6394346.3055452649, 34.6690012796, 2214, 1779, 0.0000000525
143428.7037955602, 6394347.1450704299, 34.6593367933, 143428.7493301835, 6394347.1591017637, 34.6612390208, 2100, 1489, 0.0000000692
143428.9316700131, 6394347.7024566084, 34.5043747880, 143428.9105485948, 6394347.5691650761, 34.4670491756, 1912, 1298, 0.0000000315
143429.1626814131, 6394348.4313084409, 34.4716378630, 143429.1313371696, 6394348.4016903015, 34.5084490954, 1774, 1212, 0.0000000765
143429.4491544792, 6394349.0137984771, 34.5184622007, 143429.3235207945, 6394348.9828787772, 34.4859377810, 1576, 1078, 0.0000000245
143429.7556224153, 6394349.8729148749, 34.4028319901, 143429.7665147819, 6394350.0164836505, 34.4289604810, 1351, 980, 0.0000000459
143429.9012561233, 6394350.4367128974, 34.3819283157, 143429.8680926701, 6394350.2421269193, 34.4053061528, 1298, 945, 0.0000000578
143430.3083471167, 6394350.8384033423, 34.0823302934, 143430.2841946816, 6394350.7383485669, 34.0928749829, 1224, 896, 0.0000000201
143430.3374807138, 6394351.3409710238, 33.8568263520, 143430.3535838614, 6394351.3271507788, 33.8570338261, 1227, 887, 0.0000000239
143430.4219369984, 6394352.3314610254, 33.8777948667, 143430.4281938048, 6394352.3004709557, 33.8718557529, 1211, 890, 0.0000000382
143430.6862904439, 6394352.8738579229, 33.9102065814, 143430.5884703412, 6394352.5780436210, 33.8966448541, 1239, 924, 0.0000000251
143430.8445792389, 6394353.4972938895, 34.0019335453, 143430.8673749315, 6394353.4532318301, 33.9995473553, 1189, 883, 0.0000000279
143430.9938037978, 6394353.7506927010, 33.9558973442, 143431.0052023204, 6394353.7421896867, 33.9551534902, 1199, 901, 0.0000000580
143431.3191539012, 6394354.7726227259, 33.9216686774, 143431.3967339271, 6394354.8981200270, 33.9505165783, 1131, 824, 0.0000000477
143431.6282414147, 6394355.7030166797, 33.9263688238, 143431.6490656463, 6394355.7088004425, 33.9288031379, 1246, 921, 0.0000000305
143431.8631715812, 6394356.0540248873, 33.8791151092, 143431.8285015076, 6394355.9833718576, 33.8606372151, 1268, 908, 0.0000000246
143432.1562316250, 6394356.6768414173, 33.7552610289, 143432.1833299948, 6394356.8851142777, 33.8206601841, 1242, 895, 0.0000000198
143432.2478997102, 6394357.0439723851, 33.6316461372, 143432.1510889051, 6394356.9071493065, 33.6517891872, 1327, 928, 0.0000000172
143432.3948992309, 6394357.5570596140, 33.6392172513, 143432.3934131986, 6394357.5564680463, 33.6363883528, 1278, 895, 0.0000000214
143432.6680480354, 6394357.9728634004, 33.4662667883, 143432.7144147526, 6394357.8828068720, 33.4789287091, 1345, 935, 0.0000000449
143432.8044403340, 6394358.9096080456, 33.2427852974, 143432.8097323487, 6394358.9043783424, 33.2224231054, 1323, 919, 0.0000000564
143433.0303129391, 6394359.5915661091, 33.1982700087, 143433.0419407855, 6394359.3610479068, 33.1595067019, 1291, 850, 0.0000000190
143433.2995191943, 6394360.2628045492, 33.2547148104, 143433.1815737644, 6394360.1687369747, 33.2525802428, 1353, 848, 0.0000000230
143433.4529515863, 6394360.7788024023, 33.1658833252, 143433.3130009607, 6394360.8241102491, 33.1457485757, 1379, 854, 0.0000000461
143433.7091983426, 6394361.3049326129, 33.2238938528, 143433.5257039974, 6394361.3260470033, 33.2118139766, 1378, 831, 0.0000000590
143433.8366039516, 6394361.7782894718, 33.1306834404, 143433.7049298389, 6394361.5249993363, 33.1637952541, 1406, 853, 0.0000000302
143433.9308669516, 6394362.3355524577, 33.1177307491, 143433.7688196562, 6394362.2890572026, 33.1820078279, 1347, 788, 0.0000000287
143434.2488072035, 6394362.7892509596, 33.0718110694, 143434.2080102540, 6394362.6357882097, 33.0703675047, 1380, 793, 0.0000000845
143434.6137326388, 6394363.1747939549, 32.9727120458, 143434.6210393179, 6394363.1166731007, 32.9330825371, 1342, 802, 0.0000000302
143434.7526226291, 6394363.8107869253, 33.0500423210, 143434.6840221118, 6394363.6825377587, 33.0345419665, 1341, 778, 0.0000000267
143434.8858407186, 6394364.2633872898, 33.1760964966, 143434.6991830803, 6394364.2004543878, 33.1578056216, 1294, 751, 0.0000001370
143434.8570186608, 6394364.5572883263, 33.2073736431, 143434.9537546257, 6394364.6348710703, 33.2034861015, 1333, 792, 0.0000000342
